subset,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
platform_instagram,feature_concat_seed43,877,0.9247434435575826,0.9234553762705684,0.914278149386845,0.9184852410995944,0.9663489409141582,0.977634162236241
platform_instagram,feature_concat_seed44,877,0.9224629418472063,0.9221941992433795,0.9105685618729097,0.9157826357114613,0.9668729096989968,0.9772628871892374
platform_instagram,healnet2024_seed42,877,0.9258836944127709,0.9244040507481368,0.9158166109253065,0.9197751085403869,0.9672798216276476,0.9781853949239323
platform_instagram,healnet2024_seed43,877,0.9224629418472063,0.9209569716030812,0.9118338907469342,0.9160150968904912,0.9659643255295429,0.9779571212222351
platform_instagram,healnet2024_seed44,877,0.9327251995438997,0.9318882630710588,0.9231493868450391,0.9271804831366588,0.9667224080267558,0.9738289521025494
platform_twitter,indobert,1081,0.8297872340425532,0.8296695771272042,0.8297734605662459,0.8297101449275363,0.9020475547852774,0.9033468131193687
platform_twitter,indobertweet,1081,0.8233117483811286,0.8234101667009672,0.8229471362319238,0.823093143189586,0.89837921892875,0.8918557087336109
platform_twitter,mbert,1081,0.7946345975948196,0.7963014816197567,0.7935816110536447,0.793842648908315,0.8558011768816064,0.8455872074077495
platform_twitter,transcript,1081,0.81313598519889,0.8130598216794479,0.8129268593427822,0.8129821856800274,0.8915597448948136,0.8871724405788857
platform_twitter,visual,1081,0.48751156336725254,0.24375578168362627,0.5,0.3277363184079602,0.5,0.5124884366327475
platform_twitter,text_mean,1081,0.8344125809435707,0.8359973497867406,0.8335000239760514,0.8338660807732694,0.90691811835949,0.9043863229721711
platform_twitter,text_lr,1081,0.8288621646623496,0.8299200231457563,0.8280848615211778,0.8284016560482228,0.9137067660416909,0.9172508372156769
platform_twitter,text_speech_lr,1081,0.8316373728029602,0.8329454959147792,0.8307924427486145,0.8311343427060802,0.9131484665602586,0.9170710771215621
platform_twitter,text_visual_lr,1081,0.8288621646623496,0.8299200231457563,0.8280848615211778,0.8284016560482228,0.9137341672432335,0.9172837528877593
platform_twitter,speech_visual_lr,1081,0.81313598519889,0.8130352860568688,0.8129730988703854,0.8130014044462713,0.8922807390104056,0.8901282422990804
platform_twitter,full_lr,1081,0.8307123034227567,0.832095883135962,0.8298436761451989,0.83018916513085,0.913203268963344,0.9170780788234176
platform_twitter,text_mlp_seed42,1081,0.8260869565217391,0.8270561742040783,0.8253310407661376,0.8256355874035637,0.9136211372868699,0.9173870811052476
platform_twitter,full_mlp_seed42,1081,0.8316373728029602,0.8319445874961375,0.8311623589694408,0.8313705524585331,0.910928969235301,0.9137691369107572
platform_twitter,text_mlp_seed43,1081,0.8288621646623496,0.8302319486305858,0.8279923824659712,0.8283333090120614,0.9132135444139224,0.9173754964768439
platform_twitter,full_mlp_seed43,1081,0.8279370952821462,0.8289172847413039,0.8271823344453655,0.8274905279631002,0.9117784064831244,0.9143860310893821
platform_twitter,text_mlp_seed44,1081,0.8297872340425532,0.830511739253063,0.8291261071797997,0.8294075268448318,0.9128333527425176,0.9165654338308223
platform_twitter,full_mlp_seed44,1081,0.8381128584643849,0.8386956521739131,0.8375262880277301,0.8377930421853845,0.9104562985086897,0.9133805323362243
platform_twitter,tfidf_lr,1081,0.7964847363552267,0.7968510538867012,0.7958953000089054,0.7960992907801419,0.8705327478609937,0.8705009841470357
platform_twitter,feature_concat_seed42,1081,0.8381128584643849,0.8386956521739131,0.8375262880277301,0.8377930421853845,0.9053356989704,0.8984680065285985
platform_twitter,feature_concat_seed43,1081,0.8390379278445883,0.8389256458727158,0.8389836894347817,0.838951791879007,0.9045342138252763,0.8966739915139905
platform_twitter,feature_concat_seed44,1081,0.8353376503237743,0.8353715398487374,0.8350499044383096,0.8351648539923381,0.9029654950369574,0.9024681801194498
platform_twitter,healnet2024_seed42,1081,0.8260869565217391,0.8259681561376477,0.8260708732077902,0.8260081915563957,0.9027668363257728,0.8984018269305232
platform_twitter,healnet2024_seed43,1081,0.8399629972247918,0.8398725721919639,0.8398399769829907,0.8398555546135948,0.904787674939546,0.9046747026124852
platform_twitter,healnet2024_seed44,1081,0.8418131359851989,0.8422998172348876,0.8412751149137889,0.8415261756876664,0.9036676508264888,0.9019586459397397
platform_youtube,indobert,12382,0.905104183492166,0.9012401855637775,0.9032493524587158,0.9021963521545484,0.9640841307634409,0.9470930179109207
platform_youtube,indobertweet,12382,0.8782910676788888,0.874117683178324,0.8744957427260787,0.8743049154258378,0.9457823549583008,0.920679452304098
platform_youtube,mbert,12382,0.8496204167339687,0.8455341796273932,0.8426397308902533,0.8439813419277272,0.9242715699722006,0.8988292898885273
platform_youtube,transcript,12382,0.8665805201098369,0.8632256068607121,0.8601342367639542,0.8615686066545885,0.9428241130140163,0.9186401593218039
platform_youtube,visual,12382,0.5996607979324826,0.6506860804739657,0.5147719209708482,0.41152809863531725,0.5157599201599389,0.431058644021792
platform_youtube,text_mean,12382,0.9050234210951381,0.9008832244103879,0.9037798941935874,0.9022270787020464,0.9666009555142913,0.9494634831147141
platform_youtube,text_lr,12382,0.9082539169762559,0.9044135468425119,0.9066386730417941,0.9054669713670267,0.9689724608941137,0.9538196505703243
platform_youtube,text_speech_lr,12382,0.9073655306089484,0.903424233862038,0.905885454745437,0.9045815150330623,0.9688628614315569,0.9535058159747816
platform_youtube,text_visual_lr,12382,0.9083346793732838,0.9044894295043591,0.9067370982386447,0.9055528853861428,0.9689903882444029,0.953855091441857
platform_youtube,speech_visual_lr,12382,0.8665805201098369,0.8630948422736242,0.8603438924078615,0.8616301974931029,0.9427993382246693,0.9186332997379993
platform_youtube,full_lr,12382,0.9073655306089484,0.9033971272498338,0.905945356357982,0.9045923505835305,0.9688597342546642,0.9535048864852369
platform_youtube,text_mlp_seed42,12382,0.9083346793732838,0.9042865373535625,0.9071863603327317,0.9056331742081625,0.9691245468289347,0.953894733776645
platform_youtube,full_mlp_seed42,12382,0.9091423033435633,0.905857436443217,0.9065532687625222,0.9061999226623674,0.9692717128518343,0.95411190164169
platform_youtube,text_mlp_seed43,12382,0.9089000161524794,0.9044937669272584,0.908743910092586,0.9063837193889173,0.9694531430284444,0.9540832702570029
platform_youtube,full_mlp_seed43,12382,0.9086577289613956,0.90449352038019,0.907819667570313,0.9060183755268557,0.9693594625137757,0.9536742006708931
platform_youtube,text_mlp_seed44,12382,0.9086577289613956,0.9047790846677126,0.9071607498323186,0.9059018417643425,0.9691932234076738,0.9534040092058247
platform_youtube,full_mlp_seed44,12382,0.9083346793732838,0.9049899967435638,0.9057786724379255,0.905377312508622,0.9688277480875694,0.953725985859319
platform_youtube,tfidf_lr,12382,0.8268454207720886,0.8231050257546244,0.816710824561063,0.8194004032607431,0.9052448148172112,0.8737896245689777
platform_youtube,feature_concat_seed42,12382,0.9063963818446131,0.9026569187617777,0.9044048443205076,0.9034948111626754,0.9669407529379288,0.9529446335004981
